cell_id,Cell,Batch,Cell_type,ExpLibSize,Group
Cell65,Cell65,Sample1,Cell_type2,51495.0461328019,Group2
Cell67,Cell67,Sample1,Cell_type1,59498.628488164,Group1
Cell69,Cell69,Sample1,Cell_type3,64886.1197226552,Group3
Cell71,Cell71,Sample1,Cell_type3,49020.8538754207,Group3
Cell73,Cell73,Sample1,Cell_type2,53794.3472480563,Group2
Cell75,Cell75,Sample1,Cell_type1,54916.2032883147,Group1
Cell77,Cell77,Sample1,Cell_type1,104273.510623393,Group1
Cell79,Cell79,Sample1,Cell_type2,56381.9288946837,Group2
Cell81,Cell81,Sample1,Cell_type2,68961.9588669839,Group2
Cell83,Cell83,Sample1,Cell_type2,64637.9973833021,Group2
Cell85,Cell85,Sample1,Cell_type2,59994.5594156502,Group2
Cell87,Cell87,Sample1,Cell_type3,69379.3021810977,Group3
Cell89,Cell89,Sample1,Cell_type3,51124.9719894603,Group3
Cell91,Cell91,Sample1,Cell_type3,70970.5613971192,Group3
Cell93,Cell93,Sample1,Cell_type3,69619.8907530896,Group3
Cell95,Cell95,Sample1,Cell_type2,89616.3790518326,Group2
Cell97,Cell97,Sample1,Cell_type2,71901.9274270348,Group2
Cell99,Cell99,Sample1,Cell_type2,46591.5126656144,Group2
Cell101,Cell101,Sample1,Cell_type2,62338.3779860023,Group2
Cell103,Cell103,Sample1,Cell_type2,66496.3692185683,Group2
Cell105,Cell105,Sample1,Cell_type3,56712.8627408411,Group3
Cell107,Cell107,Sample1,Cell_type3,75256.4539670768,Group3
Cell109,Cell109,Sample1,Cell_type3,69476.4801813021,Group3
Cell111,Cell111,Sample1,Cell_type2,82936.1863963511,Group2
Cell113,Cell113,Sample1,Cell_type2,54117.1359549868,Group2
Cell115,Cell115,Sample1,Cell_type3,53052.094980768,Group3
Cell117,Cell117,Sample1,Cell_type3,90165.3137103086,Group3
Cell119,Cell119,Sample1,Cell_type3,65654.4278141973,Group3
Cell121,Cell121,Sample1,Cell_type3,69269.4954808507,Group3
Cell123,Cell123,Sample1,Cell_type1,62260.4811216805,Group1
Cell125,Cell125,Sample1,Cell_type3,91280.269603797,Group3
Cell127,Cell127,Sample1,Cell_type2,68134.4881938314,Group2
Cell129,Cell129,Sample1,Cell_type3,55648.9734792377,Group3
Cell131,Cell131,Sample1,Cell_type3,66821.9006833,Group3
Cell133,Cell133,Sample1,Cell_type3,56672.4867924275,Group3
Cell135,Cell135,Sample1,Cell_type2,50697.2374535798,Group2
Cell137,Cell137,Sample1,Cell_type2,59807.3952084737,Group2
Cell139,Cell139,Sample1,Cell_type3,68079.1690575468,Group3
Cell141,Cell141,Sample1,Cell_type1,45771.2343598547,Group1
Cell143,Cell143,Sample1,Cell_type3,46586.9936598398,Group3
Cell145,Cell145,Sample1,Cell_type3,37619.4457593855,Group3
Cell147,Cell147,Sample1,Cell_type3,63845.1666843559,Group3
Cell149,Cell149,Sample1,Cell_type3,68295.3756418797,Group3
Cell151,Cell151,Sample1,Cell_type2,56726.9740301004,Group2
Cell153,Cell153,Sample1,Cell_type3,75108.1130816225,Group3
Cell155,Cell155,Sample1,Cell_type3,76484.3895897884,Group3
Cell157,Cell157,Sample1,Cell_type3,77406.1873677552,Group3
Cell159,Cell159,Sample1,Cell_type3,49449.6892192698,Group3
Cell161,Cell161,Sample1,Cell_type3,65331.6491376249,Group3
Cell163,Cell163,Sample1,Cell_type3,55563.9470098545,Group3
Cell165,Cell165,Sample1,Cell_type1,64631.4305767629,Group1
Cell167,Cell167,Sample1,Cell_type3,49969.7920414355,Group3
Cell169,Cell169,Sample1,Cell_type3,81072.1255465329,Group3
Cell171,Cell171,Sample1,Cell_type3,56148.4996875764,Group3
Cell173,Cell173,Sample1,Cell_type3,57839.9610202383,Group3
Cell175,Cell175,Sample1,Cell_type1,66825.493725342,Group1
Cell177,Cell177,Sample1,Cell_type2,65774.1898023832,Group2
Cell179,Cell179,Sample1,Cell_type1,65976.6704237793,Group1
Cell181,Cell181,Sample1,Cell_type2,43296.3136804031,Group2
Cell183,Cell183,Sample1,Cell_type1,76320.8252214256,Group1
Cell185,Cell185,Sample1,Cell_type3,50949.6846529566,Group3
Cell187,Cell187,Sample1,Cell_type3,50920.3352499333,Group3
Cell189,Cell189,Sample1,Cell_type1,61824.9496425149,Group1
Cell191,Cell191,Sample1,Cell_type2,67744.983333143,Group2
Cell193,Cell193,Sample1,Cell_type3,51838.6638560639,Group3
Cell195,Cell195,Sample1,Cell_type3,63601.3039654866,Group3
Cell197,Cell197,Sample1,Cell_type3,50988.5046891677,Group3
Cell199,Cell199,Sample1,Cell_type2,53770.2379264466,Group2
Cell201,Cell201,Sample1,Cell_type2,72171.3134519032,Group2
Cell203,Cell203,Sample1,Cell_type3,45020.4205857597,Group3
Cell205,Cell205,Sample1,Cell_type3,50969.9995962023,Group3
Cell207,Cell207,Sample1,Cell_type3,44096.8914533013,Group3
Cell209,Cell209,Sample1,Cell_type3,37248.4343558776,Group3
Cell211,Cell211,Sample1,Cell_type3,78547.0611074895,Group3
Cell213,Cell213,Sample1,Cell_type1,59107.3647438479,Group1
Cell215,Cell215,Sample1,Cell_type3,50331.3118124504,Group3
Cell217,Cell217,Sample1,Cell_type3,50916.1341930986,Group3
Cell219,Cell219,Sample1,Cell_type3,77427.7320203245,Group3
Cell221,Cell221,Sample1,Cell_type2,87915.6657519781,Group2
Cell223,Cell223,Sample1,Cell_type3,67381.0464773368,Group3
Cell225,Cell225,Sample1,Cell_type3,65921.0825455674,Group3
Cell227,Cell227,Sample1,Cell_type1,55038.7034538745,Group1
Cell229,Cell229,Sample1,Cell_type2,66634.5334719865,Group2
Cell231,Cell231,Sample1,Cell_type1,93465.5110716874,Group1
Cell233,Cell233,Sample1,Cell_type3,54168.3808429706,Group3
Cell235,Cell235,Sample1,Cell_type3,46205.8109822059,Group3
Cell237,Cell237,Sample1,Cell_type1,107085.816001292,Group1
Cell239,Cell239,Sample1,Cell_type3,46497.8869219324,Group3
Cell241,Cell241,Sample1,Cell_type2,55776.5065856737,Group2
Cell243,Cell243,Sample1,Cell_type3,80152.3599511268,Group3
Cell245,Cell245,Sample1,Cell_type3,76344.3013816663,Group3
Cell247,Cell247,Sample1,Cell_type1,78001.0831881999,Group1
Cell249,Cell249,Sample1,Cell_type2,72551.5529396851,Group2
Cell251,Cell251,Sample1,Cell_type3,57919.6945498889,Group3
Cell253,Cell253,Sample1,Cell_type3,59524.8467332832,Group3
Cell255,Cell255,Sample1,Cell_type2,55118.1505785021,Group2
Cell257,Cell257,Sample1,Cell_type3,58889.4679412126,Group3
Cell259,Cell259,Sample1,Cell_type3,51471.0330116513,Group3
Cell261,Cell261,Sample1,Cell_type3,54857.7512895117,Group3
Cell263,Cell263,Sample1,Cell_type3,100618.143324791,Group3
Cell265,Cell265,Sample1,Cell_type3,63675.3016026259,Group3
Cell267,Cell267,Sample1,Cell_type1,46912.1390569805,Group1
Cell269,Cell269,Sample1,Cell_type3,55765.3160662387,Group3
Cell271,Cell271,Sample1,Cell_type1,59984.7352221603,Group1
Cell273,Cell273,Sample1,Cell_type3,53326.7168333957,Group3
Cell275,Cell275,Sample1,Cell_type3,74536.4365875208,Group3
Cell277,Cell277,Sample1,Cell_type3,53909.7907378488,Group3
Cell279,Cell279,Sample1,Cell_type3,58808.0181838321,Group3
Cell281,Cell281,Sample1,Cell_type3,56265.6935264569,Group3
Cell283,Cell283,Sample1,Cell_type3,53744.8079692735,Group3
Cell285,Cell285,Sample1,Cell_type2,71070.1748750877,Group2
Cell287,Cell287,Sample1,Cell_type3,66825.6929711014,Group3
Cell289,Cell289,Sample1,Cell_type3,45935.2915745121,Group3
Cell291,Cell291,Sample1,Cell_type2,57572.8015452166,Group2
Cell293,Cell293,Sample1,Cell_type2,69553.5811050361,Group2
Cell295,Cell295,Sample1,Cell_type3,49925.0132486486,Group3
Cell297,Cell297,Sample1,Cell_type1,64186.9753399514,Group1
Cell299,Cell299,Sample1,Cell_type3,56154.6086941583,Group3
Cell301,Cell301,Sample1,Cell_type2,61626.3547215336,Group2
Cell303,Cell303,Sample1,Cell_type3,71245.8575476155,Group3
Cell305,Cell305,Sample1,Cell_type3,75633.2579839667,Group3
Cell307,Cell307,Sample1,Cell_type3,64010.7283353765,Group3
Cell309,Cell309,Sample1,Cell_type1,49317.9644799938,Group1
Cell311,Cell311,Sample1,Cell_type3,49442.8450038923,Group3
Cell313,Cell313,Sample1,Cell_type3,70631.7043648434,Group3
Cell315,Cell315,Sample1,Cell_type2,76162.2542423613,Group2
Cell317,Cell317,Sample1,Cell_type3,82530.4645890345,Group3
Cell319,Cell319,Sample1,Cell_type1,73830.1149353146,Group1
Cell321,Cell321,Sample1,Cell_type2,52754.824015531,Group2
Cell323,Cell323,Sample1,Cell_type3,47046.0098132386,Group3
Cell325,Cell325,Sample1,Cell_type3,57779.842769446,Group3
Cell327,Cell327,Sample1,Cell_type3,50988.0343749307,Group3
Cell329,Cell329,Sample1,Cell_type1,33715.3446673837,Group1
Cell331,Cell331,Sample1,Cell_type2,48844.1179671315,Group2
Cell333,Cell333,Sample1,Cell_type1,59178.5055810493,Group1
Cell335,Cell335,Sample1,Cell_type3,47023.7986891363,Group3
Cell337,Cell337,Sample1,Cell_type1,86667.8418257818,Group1
Cell339,Cell339,Sample1,Cell_type3,77997.3832704132,Group3
Cell341,Cell341,Sample1,Cell_type2,50113.7334169984,Group2
Cell343,Cell343,Sample1,Cell_type1,62726.5708084946,Group1
Cell345,Cell345,Sample1,Cell_type2,47299.9992818369,Group2
Cell347,Cell347,Sample1,Cell_type1,57056.6452881463,Group1
Cell349,Cell349,Sample1,Cell_type1,50880.2465822458,Group1
Cell351,Cell351,Sample1,Cell_type2,48089.2572846119,Group2
Cell353,Cell353,Sample1,Cell_type3,51436.5567192685,Group3
Cell355,Cell355,Sample1,Cell_type3,58072.3272189655,Group3
Cell357,Cell357,Sample1,Cell_type3,57235.3305055646,Group3
Cell359,Cell359,Sample1,Cell_type3,48164.4190136265,Group3
Cell361,Cell361,Sample1,Cell_type3,70285.9999960189,Group3
Cell363,Cell363,Sample1,Cell_type3,48500.6261441073,Group3
Cell365,Cell365,Sample1,Cell_type1,49816.4533250512,Group1
Cell367,Cell367,Sample1,Cell_type3,60619.7386089042,Group3
Cell369,Cell369,Sample1,Cell_type3,84974.5759123999,Group3
Cell371,Cell371,Sample1,Cell_type3,82329.1372618692,Group3
Cell373,Cell373,Sample1,Cell_type3,63406.5832386615,Group3
Cell375,Cell375,Sample1,Cell_type3,63052.6903158673,Group3
Cell377,Cell377,Sample1,Cell_type3,47317.6907538364,Group3
Cell379,Cell379,Sample1,Cell_type3,51384.1627396967,Group3
Cell381,Cell381,Sample1,Cell_type3,58427.8720960734,Group3
Cell383,Cell383,Sample1,Cell_type3,57687.5447518005,Group3
Cell385,Cell385,Sample1,Cell_type2,56583.4583282368,Group2
Cell387,Cell387,Sample1,Cell_type3,67407.2594143218,Group3
Cell389,Cell389,Sample1,Cell_type3,57053.8104830274,Group3
Cell391,Cell391,Sample1,Cell_type3,74784.4477486197,Group3
Cell393,Cell393,Sample1,Cell_type2,50453.6443713329,Group2
Cell395,Cell395,Sample1,Cell_type2,52911.949383819,Group2
Cell397,Cell397,Sample1,Cell_type2,54493.1000895406,Group2
Cell399,Cell399,Sample1,Cell_type3,56274.0619262723,Group3
Cell401,Cell401,Sample1,Cell_type3,70399.2944551785,Group3
Cell403,Cell403,Sample1,Cell_type2,51311.8752091198,Group2
Cell405,Cell405,Sample1,Cell_type1,85614.8605484192,Group1
Cell407,Cell407,Sample1,Cell_type2,84974.3584803276,Group2
Cell409,Cell409,Sample1,Cell_type3,41833.8331119475,Group3
Cell411,Cell411,Sample1,Cell_type1,52504.5976783423,Group1
Cell413,Cell413,Sample1,Cell_type3,63608.4941125011,Group3
Cell415,Cell415,Sample1,Cell_type2,53978.2915723713,Group2
Cell417,Cell417,Sample1,Cell_type1,49832.7356487401,Group1
Cell419,Cell419,Sample1,Cell_type3,39823.7612650978,Group3
Cell421,Cell421,Sample1,Cell_type3,68944.8123580628,Group3
Cell423,Cell423,Sample1,Cell_type3,63195.1636872163,Group3
Cell425,Cell425,Sample1,Cell_type3,68025.1114756789,Group3
Cell427,Cell427,Sample1,Cell_type2,51575.9757172988,Group2
Cell429,Cell429,Sample1,Cell_type3,53939.0829001314,Group3
Cell431,Cell431,Sample1,Cell_type1,51639.7492015711,Group1
Cell433,Cell433,Sample1,Cell_type3,55653.8181011701,Group3
Cell435,Cell435,Sample1,Cell_type3,57744.4085040736,Group3
Cell437,Cell437,Sample1,Cell_type1,56130.9726583684,Group1
Cell439,Cell439,Sample1,Cell_type3,45671.6810368079,Group3
Cell441,Cell441,Sample1,Cell_type2,55017.9256072856,Group2
Cell443,Cell443,Sample1,Cell_type2,68523.1309638445,Group2
Cell445,Cell445,Sample1,Cell_type2,55666.5266279964,Group2
Cell447,Cell447,Sample1,Cell_type3,61625.7577599921,Group3
Cell449,Cell449,Sample1,Cell_type2,51816.1587525528,Group2
Cell451,Cell451,Sample1,Cell_type2,61107.2278430674,Group2
Cell453,Cell453,Sample1,Cell_type1,51683.8021642837,Group1
Cell455,Cell455,Sample1,Cell_type3,70359.8462205994,Group3
Cell457,Cell457,Sample1,Cell_type1,46643.6871820661,Group1
Cell459,Cell459,Sample1,Cell_type3,65654.6627768701,Group3
Cell461,Cell461,Sample1,Cell_type2,64928.9529537578,Group2
Cell463,Cell463,Sample1,Cell_type2,60089.6467467869,Group2
Cell465,Cell465,Sample1,Cell_type3,93297.636926557,Group3
Cell467,Cell467,Sample1,Cell_type1,84996.8597083723,Group1
Cell469,Cell469,Sample1,Cell_type3,68660.3035203064,Group3
Cell471,Cell471,Sample1,Cell_type3,57784.4913975539,Group3
Cell473,Cell473,Sample1,Cell_type3,60263.9962777831,Group3
Cell475,Cell475,Sample1,Cell_type2,52589.2364515269,Group2
Cell477,Cell477,Sample1,Cell_type3,73284.9576569629,Group3
Cell479,Cell479,Sample1,Cell_type2,61180.451583792,Group2
Cell481,Cell481,Sample1,Cell_type2,58698.3906793403,Group2
Cell483,Cell483,Sample1,Cell_type2,92856.5899426665,Group2
Cell485,Cell485,Sample1,Cell_type1,46164.840349304,Group1
Cell487,Cell487,Sample1,Cell_type1,64942.5330041398,Group1
Cell489,Cell489,Sample1,Cell_type2,47423.0208212401,Group2
Cell491,Cell491,Sample1,Cell_type1,58409.7771103153,Group1
Cell493,Cell493,Sample1,Cell_type1,52106.6321898069,Group1
Cell495,Cell495,Sample1,Cell_type3,82627.6238010796,Group3
Cell497,Cell497,Sample1,Cell_type3,63829.9006194214,Group3
Cell499,Cell499,Sample1,Cell_type2,48734.3924055668,Group2
Cell501,Cell501,Sample1,Cell_type3,59613.2007171837,Group3
Cell503,Cell503,Sample1,Cell_type3,43682.2304142295,Group3
Cell505,Cell505,Sample1,Cell_type3,60543.7383465959,Group3
Cell507,Cell507,Sample1,Cell_type2,74484.013430765,Group2
Cell509,Cell509,Sample1,Cell_type2,59795.2995439771,Group2
Cell511,Cell511,Sample1,Cell_type3,84497.4966707632,Group3
Cell513,Cell513,Sample1,Cell_type3,72095.5661371475,Group3
Cell515,Cell515,Sample1,Cell_type3,59076.8274905613,Group3
Cell517,Cell517,Sample1,Cell_type1,59395.7983812692,Group1
Cell519,Cell519,Sample1,Cell_type1,59957.1403212096,Group1
Cell521,Cell521,Sample1,Cell_type3,75602.8412110862,Group3
Cell523,Cell523,Sample1,Cell_type3,70577.8616640211,Group3
Cell525,Cell525,Sample1,Cell_type3,74252.9198260845,Group3
Cell527,Cell527,Sample1,Cell_type1,47677.8305006788,Group1
Cell529,Cell529,Sample1,Cell_type2,75158.6137908653,Group2
Cell531,Cell531,Sample1,Cell_type2,49719.8866300389,Group2
Cell533,Cell533,Sample1,Cell_type2,67101.4401021753,Group2
Cell535,Cell535,Sample1,Cell_type3,56669.9762917378,Group3
Cell537,Cell537,Sample1,Cell_type3,47989.2524275269,Group3
Cell539,Cell539,Sample1,Cell_type3,53225.177624662,Group3
Cell541,Cell541,Sample1,Cell_type1,62197.2641329129,Group1
Cell543,Cell543,Sample1,Cell_type2,37345.5262401544,Group2
Cell545,Cell545,Sample1,Cell_type3,70083.2164707355,Group3
Cell547,Cell547,Sample1,Cell_type2,52160.1705779823,Group2
Cell549,Cell549,Sample1,Cell_type1,46817.7843197765,Group1
Cell551,Cell551,Sample1,Cell_type3,75903.4867780717,Group3
Cell553,Cell553,Sample1,Cell_type3,63235.2652641698,Group3
Cell555,Cell555,Sample1,Cell_type3,64894.4033710124,Group3
Cell557,Cell557,Sample1,Cell_type3,61946.6497489945,Group3
Cell559,Cell559,Sample1,Cell_type3,86698.1361981625,Group3
Cell561,Cell561,Sample1,Cell_type2,55696.0840030325,Group2
Cell563,Cell563,Sample1,Cell_type3,62396.7911334304,Group3
Cell565,Cell565,Sample1,Cell_type3,63502.7848394118,Group3
Cell567,Cell567,Sample1,Cell_type3,58909.3741917132,Group3
Cell569,Cell569,Sample1,Cell_type3,71096.2158124653,Group3
Cell571,Cell571,Sample1,Cell_type3,66496.3744542551,Group3
Cell573,Cell573,Sample1,Cell_type3,55434.6930795714,Group3
Cell575,Cell575,Sample1,Cell_type3,36105.1377811687,Group3
Cell577,Cell577,Sample1,Cell_type2,68234.3182413277,Group2
Cell579,Cell579,Sample1,Cell_type1,62734.9011622543,Group1
Cell581,Cell581,Sample1,Cell_type2,98374.7064093286,Group2
Cell583,Cell583,Sample1,Cell_type3,76377.3177054497,Group3
Cell585,Cell585,Sample1,Cell_type1,42845.5891705854,Group1
Cell587,Cell587,Sample1,Cell_type3,63598.1563935185,Group3
Cell589,Cell589,Sample1,Cell_type3,62872.7865287186,Group3
Cell591,Cell591,Sample1,Cell_type1,71449.637339838,Group1
Cell593,Cell593,Sample1,Cell_type1,44281.191639057,Group1
Cell595,Cell595,Sample1,Cell_type3,50360.9546696521,Group3
Cell597,Cell597,Sample1,Cell_type3,52645.9543515518,Group3
Cell599,Cell599,Sample1,Cell_type1,64013.7665814547,Group1
Cell601,Cell601,Sample1,Cell_type3,74233.4405037299,Group3
Cell603,Cell603,Sample1,Cell_type3,54292.5548459154,Group3
Cell605,Cell605,Sample1,Cell_type3,61436.253509898,Group3
Cell607,Cell607,Sample1,Cell_type2,54727.8263286256,Group2
Cell609,Cell609,Sample1,Cell_type2,54632.427244413,Group2
Cell611,Cell611,Sample1,Cell_type2,73754.4476604789,Group2
Cell613,Cell613,Sample1,Cell_type2,49518.5400606901,Group2
Cell615,Cell615,Sample1,Cell_type1,52641.9600870531,Group1
Cell617,Cell617,Sample1,Cell_type2,63800.8101159175,Group2
Cell619,Cell619,Sample1,Cell_type3,55352.5785445692,Group3
Cell621,Cell621,Sample1,Cell_type3,45574.9269792579,Group3
Cell623,Cell623,Sample1,Cell_type2,88861.5292871447,Group2
Cell625,Cell625,Sample1,Cell_type1,71325.2724165479,Group1
Cell627,Cell627,Sample1,Cell_type2,68639.2629191859,Group2
Cell629,Cell629,Sample1,Cell_type2,44952.5826150571,Group2
Cell631,Cell631,Sample1,Cell_type2,66907.6977445987,Group2
Cell633,Cell633,Sample1,Cell_type3,83216.2554899093,Group3
Cell635,Cell635,Sample1,Cell_type1,71108.7319204602,Group1
Cell637,Cell637,Sample1,Cell_type3,68088.4824454268,Group3
Cell639,Cell639,Sample1,Cell_type1,48545.5735066142,Group1
Cell641,Cell641,Sample1,Cell_type3,74753.2866202764,Group3
Cell643,Cell643,Sample1,Cell_type3,65446.5275025976,Group3
Cell645,Cell645,Sample1,Cell_type3,67161.571911484,Group3
Cell647,Cell647,Sample1,Cell_type3,51440.1170279225,Group3
Cell649,Cell649,Sample1,Cell_type1,44245.8014258354,Group1
Cell651,Cell651,Sample1,Cell_type2,71291.1306355587,Group2
Cell653,Cell653,Sample1,Cell_type1,79550.7716827599,Group1
Cell655,Cell655,Sample1,Cell_type3,39786.5920934084,Group3
Cell657,Cell657,Sample1,Cell_type3,67332.3374372403,Group3
Cell659,Cell659,Sample1,Cell_type1,62569.5223934481,Group1
Cell661,Cell661,Sample1,Cell_type1,67447.0774877602,Group1
Cell663,Cell663,Sample1,Cell_type2,56642.2764836905,Group2
Cell665,Cell665,Sample1,Cell_type2,45146.9283562465,Group2
Cell667,Cell667,Sample1,Cell_type3,63249.6974810617,Group3
Cell669,Cell669,Sample1,Cell_type2,84642.2323500312,Group2
Cell671,Cell671,Sample1,Cell_type2,65017.4070441513,Group2
Cell673,Cell673,Sample1,Cell_type3,65838.8038359154,Group3
Cell675,Cell675,Sample1,Cell_type3,59787.0991806548,Group3
Cell677,Cell677,Sample1,Cell_type2,49650.4240684194,Group2
Cell679,Cell679,Sample1,Cell_type1,52813.5544715714,Group1
Cell681,Cell681,Sample1,Cell_type3,58557.0206856396,Group3
Cell683,Cell683,Sample1,Cell_type2,71095.9027332779,Group2
Cell685,Cell685,Sample1,Cell_type1,57000.0081403039,Group1
Cell687,Cell687,Sample1,Cell_type3,74987.3169898963,Group3
Cell689,Cell689,Sample1,Cell_type2,54871.0703769884,Group2
Cell691,Cell691,Sample1,Cell_type3,61816.0742256112,Group3
Cell693,Cell693,Sample1,Cell_type3,36458.198852257,Group3
Cell695,Cell695,Sample1,Cell_type3,74250.5470868563,Group3
Cell697,Cell697,Sample1,Cell_type3,54319.9097222071,Group3
Cell699,Cell699,Sample1,Cell_type2,58034.3741782669,Group2
Cell701,Cell701,Sample1,Cell_type3,45781.1978666908,Group3
Cell703,Cell703,Sample1,Cell_type3,41997.5129053088,Group3
Cell705,Cell705,Sample1,Cell_type2,54934.4723624434,Group2
Cell707,Cell707,Sample1,Cell_type2,60025.5126126648,Group2
Cell709,Cell709,Sample1,Cell_type2,67593.6883078281,Group2
Cell711,Cell711,Sample1,Cell_type3,56418.5522958272,Group3
Cell713,Cell713,Sample1,Cell_type2,61770.1026368923,Group2
Cell715,Cell715,Sample1,Cell_type2,58311.8822035895,Group2
Cell717,Cell717,Sample1,Cell_type2,55118.7578372555,Group2
Cell719,Cell719,Sample1,Cell_type2,64394.8574156004,Group2
Cell721,Cell721,Sample1,Cell_type3,55367.8779433555,Group3
Cell723,Cell723,Sample1,Cell_type2,48005.0300397861,Group2
Cell725,Cell725,Sample1,Cell_type2,53548.1307826733,Group2
Cell727,Cell727,Sample1,Cell_type3,63681.7423243691,Group3
Cell729,Cell729,Sample1,Cell_type3,75020.80872906,Group3
Cell731,Cell731,Sample1,Cell_type3,49141.0844859862,Group3
Cell733,Cell733,Sample1,Cell_type3,49344.9472790918,Group3
Cell735,Cell735,Sample1,Cell_type2,49400.7124509807,Group2
Cell737,Cell737,Sample1,Cell_type3,46256.1327221397,Group3
Cell739,Cell739,Sample1,Cell_type2,77454.7886009451,Group2
Cell741,Cell741,Sample1,Cell_type1,82154.288812756,Group1
Cell743,Cell743,Sample1,Cell_type3,68632.2247628088,Group3
Cell745,Cell745,Sample1,Cell_type1,47885.2229524802,Group1
Cell747,Cell747,Sample1,Cell_type1,60265.4134335687,Group1
Cell749,Cell749,Sample1,Cell_type3,37673.8233495706,Group3
Cell751,Cell751,Sample1,Cell_type3,45803.376229805,Group3
Cell753,Cell753,Sample1,Cell_type1,62175.83324631,Group1
Cell755,Cell755,Sample1,Cell_type2,53395.5464440617,Group2
Cell757,Cell757,Sample1,Cell_type2,65097.4021989512,Group2
Cell759,Cell759,Sample1,Cell_type3,62301.6340641299,Group3
Cell761,Cell761,Sample1,Cell_type1,42700.2329093323,Group1
Cell763,Cell763,Sample1,Cell_type3,49997.2303040547,Group3
Cell765,Cell765,Sample1,Cell_type2,47244.1714819346,Group2
Cell767,Cell767,Sample1,Cell_type3,66354.7661696014,Group3
Cell769,Cell769,Sample1,Cell_type2,47138.2571920804,Group2
Cell771,Cell771,Sample1,Cell_type2,67399.2463709812,Group2
Cell773,Cell773,Sample1,Cell_type3,51688.5883249014,Group3
Cell775,Cell775,Sample1,Cell_type2,50058.1269488096,Group2
Cell777,Cell777,Sample1,Cell_type2,45176.1247906159,Group2
Cell779,Cell779,Sample1,Cell_type3,54577.4985824475,Group3
Cell781,Cell781,Sample1,Cell_type2,57831.6848620614,Group2
Cell783,Cell783,Sample1,Cell_type3,59241.6497811974,Group3
Cell785,Cell785,Sample1,Cell_type3,85842.2487976514,Group3
Cell787,Cell787,Sample1,Cell_type3,67605.6342428966,Group3
Cell789,Cell789,Sample1,Cell_type2,54732.6814312935,Group2
Cell791,Cell791,Sample1,Cell_type3,48427.5586145144,Group3
Cell793,Cell793,Sample1,Cell_type2,53352.7147857831,Group2
Cell795,Cell795,Sample1,Cell_type2,43440.8618890099,Group2
Cell797,Cell797,Sample1,Cell_type1,72961.0659926949,Group1
Cell799,Cell799,Sample1,Cell_type3,47039.1928147173,Group3
Cell801,Cell801,Sample1,Cell_type3,83435.3150572661,Group3
Cell803,Cell803,Sample1,Cell_type3,59383.3213599287,Group3
Cell805,Cell805,Sample1,Cell_type1,68326.9884884475,Group1
Cell807,Cell807,Sample1,Cell_type2,49384.8762000361,Group2
Cell809,Cell809,Sample1,Cell_type3,92080.104223888,Group3
Cell811,Cell811,Sample1,Cell_type1,73014.136625123,Group1
Cell813,Cell813,Sample1,Cell_type3,42261.6071563079,Group3
Cell815,Cell815,Sample1,Cell_type3,74669.5711249699,Group3
Cell817,Cell817,Sample1,Cell_type3,72342.4833474028,Group3
Cell819,Cell819,Sample1,Cell_type2,51444.6752503167,Group2
